397834501;EXPIRED;2025-03-14;Goldfish 28 Tender;2023;1790000;Goldfish 28 Tender - 2 x 300 Mercury - 2023 modell - 70 Knop
357045493;EXPIRED;2025-03-12;Nimbus T11;2023;4490000;Nimbus T11 - X-Edition - Levert ny våren 2023 - Joystick ink
383349899;EXPIRED;2024-12-03;8 meter undefined;1939;750000;8mCr Jac M. Iversen H20 SY Marina - nytt teakdekk- ny mast -
396440848;EXPIRED;2025-03-05;Askeladden C83 Cruiser;2021;1499000;Kommer for salg: Askeladden C83 Cruiser - Utstyrsbombe - Ski
360443075;EXPIRED;2025-03-04;Windy 39 Camira;2014;3749000;Windy Camira 39 - Topputstyrt - 2x Volvo Penta D6-400 - Skip
294157725;EXPIRED;2025-03-04;;;1900000;Hanse 445 ønskes for kunde
370062237;SOLD;2024-09-12;Windy undefined;2004;789000;BUD INNKOMMET! Windy 28 Ghibli Nylig motor- og drev service
369824776;EXPIRED;2024-09-08;Beneteau Monte Carlo 37;2007;1329000;Beneteau Monte Carlo 37 - Svært godt utstyrt - Skipsreg - Fi
353279937;EXPIRED;2025-02-19;Nimbus W9 T-Top;2020;1590000;Nimbus W9 - 2020 - Mercury V8 300 HK - Elektrisk T-Top - God
358724593;EXPIRED;2024-06-25;Windy undefined;1994;319000;Ny pris! Windy 8000 - Tidløs - Oppgradert - Overhalt motor
359584923;EXPIRED;2024-07-02;Fjord Terne undefined;1997;559000;Fjord Terne 24 / Service hvert år siden 2002 / Lagret innend
361219941;EXPIRED;2024-07-14;Flipper undefined;2017;1250000;Flipper 880 / Soft top / Velholdt / Mercury Verado 350 / Kun
361330240;EXPIRED;2024-07-19;Grand Banks undefined;2009;5490000;Grand Banks Eastbay SX45 / Sjelden mulighet / Topp utstyrt
362540580;EXPIRED;2024-07-29;Nordkapp undefined;2021;929000;Nordkapp Noblesse 720 / Mercury Verado V8 / Highline+
